Resp,Death,Employ,Social,pid,Between
0.0,2000.0,8.0,1,1,0
1.0,1600.0,8.0,1,1,0
0.0,2000.0,6.0,1,1,0
1.0,1800.0,6.0,1,1,0
0.0,1200.0,6.0,1,1,0
1.0,1400.0,2.0,1,1,0
0.0,1600.0,12.0,1,1,0
1.0,1400.0,12.0,1,1,0
1.0,1200.0,2.0,1,1,0
1.0,1400.0,6.0,1,1,0
1.0,2000.0,12.0,1,1,0
1.0,2000.0,4.0,1,1,0
1.0,1000.0,6.0,1,1,0
1.0,800.0,2.0,1,1,0
1.0,1200.0,4.0,1,1,0
1.0,1000.0,10.0,1,1,0
1.0,800.0,6.0,1,1,0
0.0,1000.0,8.0,1,1,0
0.0,1400.0,4.0,1,1,0
1.0,1600.0,4.0,1,1,0
1.0,1600.0,2.0,1,1,0
1.0,1800.0,8.0,1,1,0
0.0,1400.0,10.0,1,1,0
0.0,1600.0,6.0,1,1,0
1.0,1800.0,4.0,1,1,0
0.0,1800.0,12.0,1,1,0
0.0,1600.0,10.0,1,1,0
1.0,1000.0,2.0,1,1,0
1.0,1000.0,12.0,1,1,0
1.0,1200.0,8.0,1,1,0
0.0,800.0,10.0,1,1,0
1.0,1400.0,8.0,1,1,0
1.0,1200.0,12.0,1,1,0
1.0,800.0,12.0,1,1,0
0.0,1800.0,2.0,1,1,0
0.0,2000.0,10.0,1,1,0
1.0,800.0,4.0,1,1,0
1.0,1000.0,4.0,1,1,0
1.0,800.0,8.0,1,1,0
1.0,2000.0,2.0,1,1,0
1.0,1200.0,10.0,1,1,0
1.0,1800.0,10.0,1,1,0
1.0,1600.0,4.0,0,1,0
0.0,1600.0,10.0,0,1,0
1.0,1000.0,4.0,0,1,0
1.0,800.0,8.0,0,1,0
1.0,1200.0,10.0,0,1,0
0.0,1800.0,10.0,0,1,0
1.0,1600.0,8.0,0,1,0
0.0,1800.0,4.0,0,1,0
1.0,1000.0,2.0,0,1,0
0.0,1800.0,6.0,0,1,0
1.0,1400.0,6.0,0,1,0
0.0,1000.0,6.0,0,1,0
0.0,1400.0,2.0,0,1,0
1.0,1400.0,12.0,0,1,0
1.0,2000.0,4.0,0,1,0
0.0,1400.0,10.0,0,1,0
1.0,1600.0,6.0,0,1,0
1.0,2000.0,10.0,0,1,0
0.0,1200.0,2.0,0,1,0
1.0,1000.0,10.0,0,1,0
1.0,2000.0,8.0,0,1,0
0.0,1800.0,12.0,0,1,0
0.0,1600.0,12.0,0,1,0
1.0,1400.0,8.0,0,1,0
0.0,1800.0,2.0,0,1,0
1.0,800.0,12.0,0,1,0
1.0,1000.0,8.0,0,1,0
1.0,2000.0,2.0,0,1,0
1.0,2000.0,6.0,0,1,0
0.0,1800.0,8.0,0,1,0
1.0,1200.0,12.0,0,1,0
1.0,1200.0,4.0,0,1,0
1.0,1200.0,8.0,0,1,0
1.0,800.0,4.0,0,1,0
1.0,1000.0,12.0,0,1,0
1.0,1200.0,6.0,0,1,0
1.0,800.0,10.0,0,1,0
1.0,800.0,2.0,0,1,0
1.0,1600.0,2.0,0,1,0
1.0,800.0,6.0,0,1,0
1.0,1400.0,4.0,0,1,0
0.0,2000.0,12.0,0,1,0
1.0,1800.0,12.0,0,2,1
1.0,2000.0,6.0,0,2,1
1.0,800.0,12.0,0,2,1
0.0,1000.0,12.0,0,2,1
1.0,1400.0,10.0,0,2,1
0.0,1000.0,10.0,0,2,1
1.0,800.0,4.0,0,2,1
0.0,2000.0,8.0,0,2,1
1.0,1800.0,10.0,0,2,1
0.0,1600.0,12.0,0,2,1
1.0,1200.0,12.0,0,2,1
0.0,1600.0,6.0,0,2,1
1.0,1800.0,8.0,0,2,1
1.0,1200.0,2.0,0,2,1
1.0,1800.0,6.0,0,2,1
1.0,1200.0,6.0,0,2,1
1.0,1200.0,8.0,0,2,1
0.0,1800.0,4.0,0,2,1
1.0,1600.0,2.0,0,2,1
1.0,800.0,10.0,0,2,1
0.0,1000.0,8.0,0,2,1
0.0,800.0,6.0,0,2,1
1.0,1000.0,4.0,0,2,1
0.0,1000.0,6.0,0,2,1
1.0,1400.0,2.0,0,2,1
1.0,1200.0,4.0,0,2,1
0.0,1400.0,8.0,0,2,1
1.0,2000.0,2.0,0,2,1
0.0,800.0,2.0,0,2,1
1.0,2000.0,12.0,0,2,1
0.0,1200.0,10.0,0,2,1
1.0,1800.0,2.0,0,2,1
1.0,800.0,8.0,0,2,1
0.0,1600.0,8.0,0,2,1
1.0,1400.0,4.0,0,2,1
1.0,1600.0,4.0,0,2,1
0.0,1400.0,12.0,0,2,1
1.0,1000.0,2.0,0,2,1
1.0,1600.0,10.0,0,2,1
0.0,2000.0,10.0,0,2,1
1.0,1400.0,6.0,0,2,1
1.0,2000.0,4.0,0,2,1
1.0,1400.0,10.0,1,2,1
0.0,1000.0,4.0,1,2,1
0.0,1800.0,10.0,1,2,1
0.0,2000.0,12.0,1,2,1
0.0,800.0,4.0,1,2,1
1.0,1600.0,10.0,1,2,1
1.0,2000.0,10.0,1,2,1
1.0,1600.0,2.0,1,2,1
0.0,1000.0,6.0,1,2,1
1.0,1400.0,8.0,1,2,1
0.0,1200.0,10.0,1,2,1
1.0,800.0,12.0,1,2,1
0.0,2000.0,4.0,1,2,1
1.0,1200.0,12.0,1,2,1
1.0,2000.0,2.0,1,2,1
0.0,800.0,10.0,1,2,1
1.0,1400.0,2.0,1,2,1
1.0,1800.0,2.0,1,2,1
0.0,1000.0,2.0,1,2,1
1.0,1000.0,8.0,1,2,1
0.0,1800.0,6.0,1,2,1
1.0,1600.0,12.0,1,2,1
1.0,1600.0,8.0,1,2,1
1.0,1000.0,10.0,1,2,1
0.0,800.0,8.0,1,2,1
0.0,1200.0,4.0,1,2,1
1.0,1200.0,6.0,1,2,1
1.0,1800.0,12.0,1,2,1
1.0,1400.0,6.0,1,2,1
1.0,1400.0,4.0,1,2,1
0.0,1200.0,2.0,1,2,1
1.0,2000.0,8.0,1,2,1
0.0,1800.0,8.0,1,2,1
1.0,800.0,6.0,1,2,1
1.0,2000.0,6.0,1,2,1
1.0,1600.0,4.0,1,2,1
0.0,1400.0,12.0,1,2,1
1.0,1000.0,12.0,1,2,1
0.0,1800.0,4.0,1,2,1
1.0,800.0,2.0,1,2,1
0.0,1600.0,6.0,1,2,1
1.0,1200.0,8.0,1,2,1
1.0,1200.0,6.0,0,3,0
1.0,1200.0,2.0,0,3,0
1.0,800.0,10.0,0,3,0
1.0,1000.0,10.0,0,3,0
1.0,1000.0,4.0,0,3,0
