Factor,Observed,Simulated,Retain
1,17.62861284910451,2.3242751653609828,True
2,12.164152314498537,2.0839857154790287,True
3,5.97695216431751,1.9335374381287878,True
4,3.4903057244747395,1.8249467257025667,True
5,2.38914409626047,1.7337343186065222,True
6,1.9078215085711112,1.654310860152629,True
7,1.7214116840263207,1.5526418169460645,True
8,1.4051650885382556,1.4813983024521789,False
9,1.170082767233116,1.38398141446248,False
10,1.0488869144568433,1.3299164916159192,False
11,0.9567318570883558,1.2547390870694672,False
12,0.8144583722095726,1.1876355474816511,False
13,0.7432967316606764,1.1221425683335045,False
14,0.6903403109584927,1.0564885058685272,False
15,0.5290168574444509,0.9979244532315461,False
16,0.4499700407203524,0.9408997877028525,False
17,0.35475780164398496,0.8923388500108488,False
18,0.28554471178406104,0.8464384852273411,False
19,0.20922456314901794,0.7827118659292511,False
20,0.17105265143023196,0.7285032727578303,False
21,0.13318289480250023,0.680658228825938,False
22,0.09398596181115759,0.6366329322246457,False
23,0.08049388909783661,0.5916763749342779,False
24,0.02123544242067399,0.5530044604198643,False
25,-0.02347448980968203,0.49946296490264547,False
26,-0.06088954334548502,0.4447345358323053,False
27,-0.08417692215291517,0.4063203539964181,False
28,-0.12371875148387024,0.36922510085525473,False
29,-0.1587439605387354,0.3339880738010619,False
30,-0.17175920680680967,0.2929955926320652,False
31,-0.18948850790565963,0.2561141053720137,False
32,-0.20806347435480044,0.2057622033677088,False
33,-0.21489118819045572,0.1738812743134596,False
34,-0.23918826758957845,0.13546448400664635,False
35,-0.262476278047162,0.0968778045796138,False
36,-0.2793742740480055,0.06836181567148264,False
37,-0.283666503367898,0.03860246871572781,False
38,-0.310586659081145,0.0035165666900505376,False
39,-0.32956775982693653,-0.029194655437006407,False
40,-0.344868620866546,-0.06031679603673533,False
41,-0.35242722596360687,-0.08581172774157446,False
42,-0.3672155493027316,-0.11795971922299348,False
43,-0.388834990569084,-0.14681559103181027,False
44,-0.40658032787985876,-0.1771375155556365,False
45,-0.42401001367877256,-0.2004927040844289,False
46,-0.446231529492498,-0.22996158402689013,False
47,-0.4507602100747777,-0.2565257206714997,False
48,-0.45887131951261856,-0.2805043034677889,False
49,-0.4661626919540812,-0.3047025543812995,False
50,-0.48128029021934277,-0.33732984350151834,False
51,-0.49227908822663735,-0.36081936120747576,False
52,-0.5167621278494874,-0.38577948629261904,False
53,-0.533077278095011,-0.41215116014911024,False
54,-0.5463909640826153,-0.43370592433629424,False
55,-0.5625925551307545,-0.4497671647966751,False
56,-0.566504315732949,-0.4779122474036373,False
57,-0.5856267406020073,-0.5034010292292934,False
58,-0.5945537111213088,-0.5191228142692967,False
59,-0.6221629948539169,-0.5342816057058014,False
60,-0.6269545582561367,-0.5568823579494804,False
61,-0.6477764337271843,-0.5799418505672101,False
62,-0.652792615849177,-0.5987825246643906,False
63,-0.6558308702149539,-0.6155203667021847,False
64,-0.663105271000707,-0.6324138173295661,False
65,-0.6784107721111875,-0.6488419850744545,False
66,-0.6882111247100295,-0.6647514375183562,False
67,-0.6990142230580602,-0.6822831298336722,False
68,-0.7160278805156473,-0.6996331113988785,False
69,-0.723877946913915,-0.7148491609874271,False
70,-0.7394866068156338,-0.7299488492017641,False
71,-0.7417878695895682,-0.7440494282811704,True
72,-0.7547623111879951,-0.758619549385495,True
73,-0.7713195773652484,-0.7732401843702648,True
74,-0.7837886799546141,-0.7891996909985908,True
75,-0.7915006506837795,-0.7994504825080683,True
76,-0.8015654186055288,-0.8123180340540739,True
77,-0.8046534981185626,-0.8232637346253215,True
78,-0.8237339079643646,-0.8366773452414221,True
79,-0.830196596974439,-0.8501359652980937,True
80,-0.8363341961885887,-0.8619349973016999,True
81,-0.8511539974587397,-0.8715037643372153,True
82,-0.8616159277931179,-0.8816993434030787,True
83,-0.8621886514704125,-0.8910461556712275,True
84,-0.8697707668052681,-0.9012558539301119,True
85,-0.8800498784252129,-0.909954397512221,True
86,-0.897489571707165,-0.9186426745778599,True
87,-0.9117209693254278,-0.9278817423878313,True
88,-0.9179710473954622,-0.9348777216201956,True
89,-0.9204195503170253,-0.9442811881880881,True
90,-0.9417129231820504,-0.9556510599739255,True
